query,intent
"What will the weather be in Berville AK on Feb. 6, 2017?",GetWeather
Weather in Cairngorms-Nationalpark close from freezing,GetWeather
Will it be colder in Postelle at 10:31 a.m.?,GetWeather
How hot is it in Hackamore,GetWeather
is it freezing in Prompton,GetWeather
Weather at Navajo National Monument on fri.,GetWeather
Will it be chillier in Uruguay in 213 days?,GetWeather
Will there be a blizzard in Guadeloupe?,GetWeather
is it going ot be chillier in Maumee,GetWeather
I want to eat in Rowan Bay on a nice cloud less day,GetWeather
"What will the weather be here on January twenty-first, 2029?",GetWeather
What is the weather like in Wyatte,GetWeather
What will the humidity be here this week?,GetWeather
Will it still be warm nineteen hours from now in PA,GetWeather
is Morley Nelson Snake River Birds of Prey National Conservation Area going to be cold 1 second from now,GetWeather
What will the weather be in 3 years  in Eros NC?,GetWeather
Will it be snowy at 04:43 a.m. in North Carolina,GetWeather
what is the forecast for Gambier,GetWeather
What kind of temperate will be in Slade?,GetWeather
what is the forecast for Sea Isle City in Louisiana for warmer weather,GetWeather
Tell me the weather forecast for Island Mountain,GetWeather
Will it be cold neighboring Antlers on aug. 22?,GetWeather
Will the weather be foggy in Vatican West Carson in 1 hour and one minute?,GetWeather
What's the weather in New Zealand?,GetWeather
What will the weather be in Montserrat?,GetWeather
I'd like to hear music that's popular from Trick-trick on the Slacker service,PlayMusic
Play Making Out by Alexander Rosenbaum off Google Music.,PlayMusic
I want to hear Pamela Jintana Racine from 1986 on Lastfm,PlayMusic
is there something new you can play by Lola Monroe,PlayMusic
I want to hear something from Post-punk Revival,PlayMusic
Song from Brian Chase in 2004,PlayMusic
give me something from the fifties,PlayMusic
Play the top music from Epic Mazur.,PlayMusic
I want to hear track 34.,PlayMusic
I want something from the year 1961 that was on record from deezer,PlayMusic
Play some eighties music by Emil De Cou on Slacker,PlayMusic
Let's listen to Matthew Shipp.,PlayMusic
Play Natalie Maines 1959 concerto.,PlayMusic
put on a Serge Robert track,PlayMusic
Play some Hridaynath Mangeshkar,PlayMusic
Play music from Sleepy John Estes from 2002.,PlayMusic
Play a sound track from 1952.,PlayMusic
I want to hear music from Fonzworth Bentley using the service slacker with any song,PlayMusic
Open up Google Music and play anything.,PlayMusic
Play music from Youtube.,PlayMusic
Please play the album Prvi Poljubac by Hiroki Uchi on Youtube.,PlayMusic
I want to hear Merry Go Round by Gary Nichols from Groove Shark please.,PlayMusic
Play the top-twenty from Tony Calder off Slacker.,PlayMusic
Let me hear Wintley Phipps top fifty album.,PlayMusic
Play an album from 1956 off Spotify.,PlayMusic
play me some Dom Pachino,PlayMusic
See if Netflix has the Lightspeed Champion album boris,PlayMusic
Play a symphony from 1989,PlayMusic
I wish to listen to some fifties music.,PlayMusic
I want to hear music from 1993 on pandora.,PlayMusic
Put The Silent Enigma album by Yoko Kanno,PlayMusic
Please play Every Woman In Me,PlayMusic
play a good song by Baaba Maal on Lastfm,PlayMusic
Play bouncy techno from Lastfm.,PlayMusic
play In The Disco by Danny Hutton,PlayMusic
Play some lyn paul,PlayMusic
Play Ocean Beach from paul delay.,PlayMusic
Play music from the thirties by Swjatoslaw Wakartschuk.,PlayMusic
I would like to hear The Worst Is Yet To Come.,PlayMusic
I would like to hear something from Groove Shark,PlayMusic
Can you play nineties music from Paul Kelly?,PlayMusic
play the latest movement by Charlie Higgins,PlayMusic
Play some chant from 1974,PlayMusic
Go to Mick Fleetwood on my Vimeo,PlayMusic
Play a tune from 2007.,PlayMusic
Play some klezmer fiddle,PlayMusic
Play the Broom Of The Cowdenknowes.,PlayMusic
I want to hear my Entre los Andes playlist.,PlayMusic
Can you play some decent work by Timour Moutsouraev?,PlayMusic
Play some 1988 Harry T. Burleigh,PlayMusic
most popular song of taco ockerse,PlayMusic
Play Tennessee Saturday Night by Mr. Porter,PlayMusic
Please play a track from the nineties by any artist,PlayMusic
Can I hear Anna Vissi's new music on Pandora?,PlayMusic
let's listen to the 1986 sound track by Mike Park,PlayMusic
I want to hear the last album from Frank Iero,PlayMusic
Play them good songs by The Singing Nun,PlayMusic
Play them the greatest music by Chris Frantz.,PlayMusic
Play me a concerto by Jethro Burns from Zvooq,PlayMusic
Can you play some music by Abatte Barihun?,PlayMusic
I want to hear Shooby Taylor's Tearing Up The Album Charts.,PlayMusic
Play itunes and Vimeo music,PlayMusic
play something new by tansen,PlayMusic
Please play Last Fm from Le Jardin De Heavenly by Edward Leeson,PlayMusic
Open Itunes and play some twenties songs.,PlayMusic
play music from 1974,PlayMusic
Play some Grand Puba.,PlayMusic
Play the top fifty by Kate Bush.,PlayMusic
Play the Stephen Stills album Verge,PlayMusic
I need some Hardcore Hip Hop,PlayMusic
play the new Feist on deezer,PlayMusic
Play Gaston by Daniel De Los Reyes.,PlayMusic
Play Man Like Me by heather b.,PlayMusic
Put some of Patrick Lachman's eighties music on Zvooq,PlayMusic
"please, a sound track of Jyotsna Radhakrishnan",PlayMusic
Play some Darkcore.,PlayMusic
i want to listen to Say It Again by Blackstratblues,PlayMusic
Can I hear Jeremy Taggart's newest chant on Deezer?,PlayMusic
I would like to hear music from 1993,PlayMusic
I want to hear music from the top fifty by Yasuhiko Fukuda,PlayMusic
Play seventies music on Itunes,PlayMusic
Open up Last Fm and play me some Medieval Folk Rock,PlayMusic
I'd like to listen to mark rae,PlayMusic
play the most popular Bret Michaels record,PlayMusic
"I want to listen to Lastfm, play A Drop Of The Hard Stuff by Joi Chua.",PlayMusic
I wanna listen to Electroclash,PlayMusic
Play March 12 by John Moyer on Groove Shark.,PlayMusic
Play an ep from Preap Sovath.,PlayMusic
I want to listen to some music from 2003 on Pandora from them,PlayMusic
Play the Vic Damone album named Tuonela,PlayMusic
Play some nineties stuff from Clem Burke.,PlayMusic
Play a song from Lars Danielsson from the fourties using the service Last Fm,PlayMusic
Open Lastfm and sort by the top-fifty by the artist Korpiklaani.,PlayMusic
put th Power Gaming playlist,PlayMusic
something on Spotify please,PlayMusic
Play some concerto from T. S. Monk.,PlayMusic
Can you play the Star Tales album by Colleen?,PlayMusic
Play some G. V. Prakash Kumar,PlayMusic
Play Got Djent?,PlayMusic
"I want to hear Jimmy James from the thirties, play a song on Groove Shark.",PlayMusic
I want to play music from 1979 on Groove Shark.,PlayMusic
Please play something from the twenties google music,PlayMusic
Play a song from 1994.,PlayMusic
Please play a song from Jesse Harris that's on Youtube,PlayMusic
Play music from Linzi Stoppard in 1994 from itunes.,PlayMusic
Please play something from the fifties by Roscoe,PlayMusic
Play a ballad by Project Pat on google music.,PlayMusic
can i lesten to the latest album of T-bone Burnett,PlayMusic
Play chant music from 2016 off Pandora.,PlayMusic
Play some good music from Jamelia.,PlayMusic
Play Alabama Concerto by Kou Shibasaki.,PlayMusic
Play some good symphony music from Avispa.,PlayMusic
I want to hear the greatest hits from King Ov Hell on vimeo ,PlayMusic
Play Pandora on Last Fm,PlayMusic
Let's listen to the best from Jeff Loomis.,PlayMusic
Play Goldie Hill's record on Google Music.,PlayMusic
Please play Jim Martin on Vimeo.,PlayMusic
Play Bonnie Annie by Tolmatschowa-schwestern on last fm.,PlayMusic
Play my Women of Rock playlist.,PlayMusic
I want to hear Nellie Mckay's new music.,PlayMusic
Play Moris Tepper,PlayMusic
I need a SOUNDTRACK FOR STUDY purposes.,PlayMusic
Play concerto music by Nicholaus Arson.,PlayMusic
Can you play Slacker?,PlayMusic
Play Maria Severa Onofriana and sort by most popular.,PlayMusic
I'm looking for a movement by Asim Brkan that's on Netflix best channel,PlayMusic
Use Youtube to play the soundtrack from Manos Hadzidakis.,PlayMusic
Play Too Much Rain by the artist D-loc.,PlayMusic
Play something by Louisiana Blues,PlayMusic
play This Is Colour by Panda Bear,PlayMusic
Please play some nineties music by Tommy Johnson.,PlayMusic
Play from the top record from 1973 by Olexandr Ponomarjow.,PlayMusic
Play rock like war from Mohammad Reza Lotfi please,PlayMusic
Play something by the artist Jenifer from 2003,PlayMusic
Please play my Happy House playlist.,PlayMusic
Play Ashita E by Ian Anderson,PlayMusic
Play music from Stacy Ferguson from the fourties,PlayMusic
I would like to hear lastfm play journey.,PlayMusic
play some movement by Franky Gee,PlayMusic
Play the top-5 track from Boris Liatochinski.,PlayMusic
play them by Guy-manuel De Homem-christo,PlayMusic
Can i get a song from the eighties on Zvooq,PlayMusic
I'm looking for something by Young Rome from 2001 on Groove Shark,PlayMusic
Play a popular sound track by Joe Pass on Itunes.,PlayMusic
Please play symphony by Travis Mccoy,PlayMusic
Play some fun-punk,PlayMusic
I want to hear an album from 2010,PlayMusic
play some movement from the fifties on Spotify,PlayMusic
Play Tom Thacker through a top sort.,PlayMusic
Play anything you want from Slacker,PlayMusic
I want to hear from Pepe Marchena song Delaware,PlayMusic
Play Monts Et Merveilles.,PlayMusic
I want to hear music from carman from the 1966 album,PlayMusic
Play some twenties music,PlayMusic
Play some 1983 Jon Brooks,PlayMusic
Play some Jerry Dixon,PlayMusic
Play an ep from Little Jimmy Dickens.,PlayMusic
Please play the genre Rock Strumentale.,PlayMusic
I'd like to hear Grievance from the Youtube service,PlayMusic
Put some fifties music on Netflix,PlayMusic
Please play Short And Sweet by Teyana Taylor from my itunes.,PlayMusic
Play some pop music.,PlayMusic
Play the greatest hits by Inoj.,PlayMusic
Please play the latest ep by the fifties famous Gholam Hossein Banan.,PlayMusic
Play a tune from 1973.,PlayMusic
Play Arif music from the fourties.,PlayMusic
Play a song from the fourties by Deezer through Fakhar-e-alam.,PlayMusic
I wish to listen to Gonna Get Along Without Ya Now by Ian Curtis.,PlayMusic
I'm looking for the last track by Fei Yu Ching from the fourties,PlayMusic
I want to hear Choice on Last Fm from the twenties.,PlayMusic
Please play With Echoes In The Movement Of Stone by Faith Evans.,PlayMusic
Play me a track from the sixties,PlayMusic
Play music off Itunes.,PlayMusic
Play Gary Jules's latest music,PlayMusic
Let's hear something from Elena Risteska,PlayMusic
Play Les Lecter Smith from deezer.,PlayMusic
play me something from the fifties,PlayMusic
Could you play the album B Men Gahō by Nathaniel Shilkret,PlayMusic
I want to hear music from the Lotus Flower album by Andy Mccoy,PlayMusic
Please play Different Slanguages by Fred Labour.,PlayMusic
Play some 1993 Mark Maclaine on Deezer,PlayMusic
Play some pambiche please,PlayMusic
Start the Last Fm service with a song from 1976,PlayMusic
I want to listen to Foreign Affair.,PlayMusic
Can you play it on Youtube?,PlayMusic
Play an ep by Cristy Lane off google music.,PlayMusic
Put Lo mejor de Radio 3 on in the background,PlayMusic
Play nineties music.,PlayMusic
Play a song from the thirties by Bruno Pelletier,PlayMusic
Can you play Deezer from 2007?,PlayMusic
We want to listen to nineties music from mike burkett.,PlayMusic
play Facedown by Maximum Bob,PlayMusic
Please play some nineties music album.,PlayMusic
Play Bad Boy Bill,PlayMusic
I want to hear music from the sixties.,PlayMusic
Play the latest Bobby Darin.,PlayMusic
play some music from the thirties,PlayMusic
"Play the track Fight On, State by Yuvan Shankar Raja",PlayMusic
give me some Hank Shermann from 1975 on Lastfm,PlayMusic
Play Murdoc Nicalls through Itunes.,PlayMusic
Give me some Musica Post-industriale from Groove Shark,PlayMusic
Start blasting my Latin Jazz playlist.,PlayMusic
Play them by Jt The Bigga Figga.,PlayMusic
I want to hear the album Live In Munich by Laura Love.,PlayMusic
I want to hear a symphony by Raf,PlayMusic
Play the sound track from Raymond Murray Schafer please,PlayMusic
Play a melody from 2010 off Itunes.,PlayMusic
put my raining playlist on,PlayMusic
Play the Get Turnt playlist.,PlayMusic
I wish to enjoy some fifties music by Johnny Paycheck.,PlayMusic
Play the man who sold the world from Steve Swell,PlayMusic
Play biguine music.,PlayMusic
Play the latest Peter Green.,PlayMusic
Something by Danielle Polanco in 1986,PlayMusic
Play something from the genre muzyka pop,PlayMusic
Play using from ep of Christopher Martin using Lastfm,PlayMusic
I want to hear music from the genre Ecossaise,PlayMusic
Play pop-rap off Google Music.,PlayMusic
"I want to hear Aki Nawaz, play the song fair annie.",PlayMusic
Play Kastro Tis Orias by Karl Denson off Lastfm.,PlayMusic
Play Tony Crombie songs that inspire movement,PlayMusic
Please play below the lion rock by stereo mike,PlayMusic
I want to hear Eddi Reader from the twenties.,PlayMusic
Play the album entitled Se Potrei Avere Te.,PlayMusic
give me some Last Emperor,PlayMusic
Play some art punk.,PlayMusic
Play music off Youtube.,PlayMusic
Open up Groove Shark.,PlayMusic
Play Donny Tourette's Push The Button,PlayMusic
I want to listen to an album from Sibel.,PlayMusic
Play music from Lastfm and Deezer.,PlayMusic
"Play addicts: black meddle, part ii.",PlayMusic
Play the best music from Klaus Badelt.,PlayMusic
Play the last chant music by Jan Smit on Deezer.,PlayMusic
Play a Sugarcult track from the twenties on Itunes,PlayMusic
Play a Nóta song,PlayMusic
play on the good ship lollipop by Anthony Hamilton,PlayMusic
Play While We Were Waiting by Sippie Wallace on Vimeo,PlayMusic
Put on Vimeo and play Kacapi Suling,PlayMusic
play something from 1971 by John Bonham,PlayMusic
put El Mejor Rock en Español playlist,PlayMusic
Can i use Lastfm to listen to Twilight Time by Dj Khalil?,PlayMusic
Play Lastfm.,PlayMusic
Play top music from Charles L. Johnson on vimeo ,PlayMusic
Please play All Funked Up from Vimeo,PlayMusic
I want to hear the last album from Carsten Bohn,PlayMusic
Access my Vimeo service to play music from Bernhard Fleischmann,PlayMusic
Open Vimeo and play music.,PlayMusic
I wish to listen to some instrumental music.,PlayMusic
i wanna listen to a the top-twenty track of Denniz Pop in Pandora,PlayMusic
Play Lil Hardin Armstrong from Itunes.,PlayMusic
play the last Niney The Observer song,PlayMusic
Play chant by Nao Matsushita from 1983.,PlayMusic
Play One Way Ticket by Ray Kennedy.,PlayMusic
Play my Romántica playlist,PlayMusic
last melody of Bob Hardy on Iheart,PlayMusic
"I want to hear music on deezer, play the most popular songs by Daisy Berkowitz.",PlayMusic
Turn on Slacker radio.,PlayMusic
Please play the last track from abbath,PlayMusic
Play something interesting from a soundtrack recorded by Vishal-shekhar in the thirties that's on Iheart,PlayMusic
Put any 1972 record on.,PlayMusic
Play music by larry mullen jr.,PlayMusic
Play music from Lastfm.,PlayMusic
Play a soundtrack by Wade Macneil from 1969.,PlayMusic
Play Jimmy Lafave on Vimeo.,PlayMusic
Play some Rumba Africana.,PlayMusic
Play music from the thirties.,PlayMusic
Let me listen to an eighties ep.,PlayMusic
last song by Latifa,PlayMusic
An interesting piece from 1991 please,PlayMusic
Play a song from 1993 on Youtube,PlayMusic
Play Device music from the fourties.,PlayMusic
"I'd like to hear music from 1951, preferably a soundtrack.",PlayMusic
Play music through Groove Shark.,PlayMusic
Play me a good ep from 1989 by jenifer,PlayMusic
I want to listen to the track Close To The Edge,PlayMusic
I want to listen to some Aaliyah,PlayMusic
I want to listen to Merrily We Roll Along by Marko Desantis.,PlayMusic
Play the newest Roger Troutman track possible,PlayMusic
Play some P. J. Proby,PlayMusic
Play some diva house.,PlayMusic
I want to hear the album Picchio Dal Pozzo from Con Hunley,PlayMusic
play almost independence day by Vitas,PlayMusic
Play the song from the genre Sunshine Reggae that appeals to me.,PlayMusic
I want to listen to martina mcbride music from 1995,PlayMusic
play some fifties tune on Youtube,PlayMusic
Play the track Coma,PlayMusic
I wish to listen to Roni Duani 's music.,PlayMusic
put my Family Road Trip playlist,PlayMusic
Play New World on groove shark,PlayMusic
Start playing anything Mike Muir made in the thirties,PlayMusic
Play some thirties Frank Wildhorn,PlayMusic
Play a sound track from Gregory Douglass.,PlayMusic
Play music from 1972,PlayMusic
I want to play a song from the nineties by Roddy Woomble,PlayMusic
Plaly The Ladybug Transistor by Loreena Mckennitt.,PlayMusic
Play the latest music from Mark Knopfler.,PlayMusic
Play music from the eighties.,PlayMusic
Play Tyrants And Wraiths,PlayMusic
Play Before I Grew Up To Love You by Wafah Dufour,PlayMusic